409	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
410	95	95	95	99	99	95	90	90	90	90	90	90	95	95	95	95	95	95	95	95
411	80	90	95	95	90	85	80	80	80	80	80	80	80	80	80	80	75	75	70	65
412	70	80	90	90	80	70	65	65	65	65	65	65	65	60	60	55	55	55	55	55
413	70	70	90	90	70	70	65	65	65	65	65	65	65	50	50	50	40	40	40	40
414	70	70	90	90	70	70	65	65	65	65	65	65	65	50	50	50	40	40	40	40
415	70	70	90	90	70	60	65	65	65	65	65	65	65	50	50	50	40	40	40	40
416	70	70	90	90	70	60	65	65	65	65	65	65	65	50	50	50	40	40	40	40
417	70	70	90	90	70	60	65	65	65	65	65	65	65	50	50	50	40	40	40	40
418	70	70	90	90	70	60	65	65	65	65	65	65	65	50	50	50	40	40	40	40
419	70	70	90	90	70	60	65	65	65	65	65	65	65	50	50	50	40	40	40	40
420	60	65	70	70	60	55	55	50	50	50	50	60	65	70	60	50	40	35	30	30
421	50	50	50	50	50	50	50	50	50	50	50	50	45	30	30	40	45	40	35	35
422	50	50	50	50	50	50	50	50	50	50	50	50	45	30	30	40	45	40	35	35
423	50	50	50	50	50	50	50	50	50	50	50	50	45	30	30	40	45	45	50	40
424	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
425	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
426	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
427	50	45	30	30	35	40	50	50	50	50	50	50	55	60	60	60	55	50	50	50
428	50	45	30	30	35	40	50	50	50	50	50	50	55	60	60	60	55	50	50	50
429	50	45	30	30	35	40	50	50	50	50	50	50	55	60	60	60	55	50	50	50
430	50	45	30	30	35	40	50	50	50	50	50	50	55	60	60	60	55	50	50	50
431	50	45	30	30	35	40	50	50	50	50	50	50	55	60	60	60	55	50	50	50
432	40	35	20	25	30	40	40	45	45	50	50	60	65	70	70	75	75	75	75	75
433	40	35	20	25	30	40	40	45	45	50	50	60	65	70	70	75	75	75	75	75

