N 409	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
N 410	0	0	0	0	95	95	95	99	99	95	90	90	90	90	90	90	95	95	95	95	95	95	95	95
T 411	0	0	0	0	80	90	95	95	90	85	80	80	80	80	80	80	80	80	80	80	75	75	70	65
T 412	0	0	0	0	70	80	90	90	80	70	65	65	65	65	65	65	65	60	60	55	55	55	55	55
N 413	0	0	0	0	70	70	90	90	70	70	65	65	65	65	65	65	65	50	50	50	40	40	40	40
N 414	0	0	0	0	70	70	90	90	70	70	65	65	65	65	65	65	65	50	50	50	40	40	40	40
N 415	0	0	0	0	70	70	90	90	70	60	65	65	65	65	65	65	65	50	50	50	40	40	40	40
N 416	0	0	0	0	70	70	90	90	70	60	65	65	65	65	65	65	65	50	50	50	40	40	40	40
N 417	0	0	0	0	70	70	90	90	70	60	65	65	65	65	65	65	65	50	50	50	40	40	40	40
N 418	0	0	0	0	70	70	90	90	70	60	65	65	65	65	65	65	65	50	50	50	40	40	40	40
N 419	0	0	0	0	70	70	90	90	70	60	65	65	65	65	65	65	65	50	50	50	40	40	40	40
N 420	0	0	0	0	60	65	70	70	60	55	55	50	50	50	50	60	65	70	60	50	40	35	30	30
T 421	0	0	0	0	50	50	50	50	50	50	50	50	50	50	50	50	45	30	30	40	45	40	35	35
T 422	0	0	0	0	50	50	50	50	50	50	50	50	50	50	50	50	45	30	30	40	45	40	35	35
T 423	0	0	0	0	50	50	50	50	50	50	50	50	50	50	50	50	45	30	30	40	45	45	50	40
N 424	0	0	0	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
N 425	0	0	0	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
T 426	0	0	0	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
N 427	0	0	0	0	50	45	30	30	35	40	50	50	50	50	50	50	55	60	60	60	55	50	50	50
T 428	0	0	0	0	50	45	30	30	35	40	50	50	50	50	50	50	55	60	60	60	55	50	50	50
N 429	0	0	0	0	50	45	30	30	35	40	50	50	50	50	50	50	55	60	60	60	55	50	50	50
T 430	0	0	0	0	50	45	30	30	35	40	50	50	50	50	50	50	55	60	60	60	55	50	50	50
T 431	0	0	0	0	50	45	30	30	35	40	50	50	50	50	50	50	55	60	60	60	55	50	50	50
T 432	0	0	0	0	40	35	20	25	30	40	40	45	45	50	50	60	65	70	70	75	75	75	75	75
T 433	0	0	0	0	40	35	20	25	30	40	40	45	45	50	50	60	65	70	70	75	75	75	75	75

